"ecosystem","sample","sample_fraction","fraction","sampleID","isotope.treatment","iso.treat.eco","Density.g.ml","avg_16S_copies","dna_ng_ul","uL_added","dry_soil_wt_g"
"GL",4,"4_11",11,"W1_GL_4","12C","12C.GL",1.7115818,20167.47747,27.9,40,0.251492156539026
"GL",4,"4_12",12,"W1_GL_4","12C","12C.GL",1.7072882,97522.9684,27.9,40,0.251492156539026
"GL",4,"4_13",13,"W1_GL_4","12C","12C.GL",1.7019212,416841.7347,27.9,40,0.251492156539026
"GL",4,"4_14",14,"W1_GL_4","12C","12C.GL",1.6965542,729982.9948,27.9,40,0.251492156539026
"GL",4,"4_15",15,"W1_GL_4","12C","12C.GL",1.6922606,733731.802,27.9,40,0.251492156539026
"GL",4,"4_16",16,"W1_GL_4","12C","12C.GL",1.6868936,268191.8713,27.9,40,0.251492156539026
"GL",4,"4_17",17,"W1_GL_4","12C","12C.GL",1.681,126561.1049,27.9,40,0.251492156539026
"GL",4,"4_18",18,"W1_GL_4","12C","12C.GL",1.6759,54635.57341,27.9,40,0.251492156539026
"GL",4,"4_7",7,"W1_GL_4","12C","12C.GL",1.730903,7685.06359,27.9,40,0.251492156539026
"GL",4,"4_8",8,"W1_GL_4","12C","12C.GL",1.7266094,4549.572985,27.9,40,0.251492156539026
"GL",4,"4_9",9,"W1_GL_4","12C","12C.GL",1.7212424,6820.623794,27.9,40,0.251492156539026
"GL",5,"5_10",10,"W1_GL_5","12C","12C.GL",1.71107,13759.64724,21.9,50,0.252333267430461
"GL",5,"5_11",11,"W1_GL_5","12C","12C.GL",1.705696,176215.6627,21.9,50,0.252333267430461
"GL",5,"5_12",12,"W1_GL_5","12C","12C.GL",1.700322,560960.2897,21.9,50,0.252333267430461
"GL",5,"5_13",13,"W1_GL_5","12C","12C.GL",1.694948,988141.699,21.9,50,0.252333267430461
"GL",5,"5_14",14,"W1_GL_5","12C","12C.GL",1.689574,461967.3426,21.9,50,0.252333267430461
"GL",5,"5_15",15,"W1_GL_5","12C","12C.GL",1.6863496,96874.97023,21.9,50,0.252333267430461
"GL",5,"5_16",16,"W1_GL_5","12C","12C.GL",1.6809756,64249.05946,21.9,50,0.252333267430461
"GL",5,"5_17",17,"W1_GL_5","12C","12C.GL",1.6756016,29798.98453,21.9,50,0.252333267430461
"GL",5,"5_18",18,"W1_GL_5","12C","12C.GL",1.672,21636.42629,21.9,50,0.252333267430461
"GL",5,"5_5",5,"W1_GL_5","12C","12C.GL",1.7347156,2399.292456,21.9,50,0.252333267430461
"GL",5,"5_6",6,"W1_GL_5","12C","12C.GL",1.7304164,2809.176729,21.9,50,0.252333267430461
"GL",5,"5_8",8,"W1_GL_5","12C","12C.GL",1.7207432,3281.884832,21.9,50,0.252333267430461
"GL",5,"5_9",9,"W1_GL_5","12C","12C.GL",1.7153692,6378.540016,21.9,50,0.252333267430461
"GL",6,"6_10",10,"W1_GL_6","12C","12C.GL",1.6964672,12185.35983,18.8,30,0.252333267430461
"GL",6,"6_11",11,"W1_GL_6","12C","12C.GL",1.6912032,57283.35988,18.8,30,0.252333267430461
"GL",6,"6_12",12,"W1_GL_6","12C","12C.GL",1.686992,263348.4729,18.8,30,0.252333267430461
"GL",6,"6_13",13,"W1_GL_6","12C","12C.GL",1.6827808,543944.6376,18.8,30,0.252333267430461
"GL",6,"6_14",14,"W1_GL_6","12C","12C.GL",1.6775168,375153.084,18.8,30,0.252333267430461
"GL",6,"6_15",15,"W1_GL_6","12C","12C.GL",1.6733056,255205.624,18.8,30,0.252333267430461
"GL",6,"6_16",16,"W1_GL_6","12C","12C.GL",1.6690944,111281.1621,18.8,30,0.252333267430461
"GL",6,"6_17",17,"W1_GL_6","12C","12C.GL",1.6648832,103603.2703,18.8,30,0.252333267430461
"GL",6,"6_18",18,"W1_GL_6","12C","12C.GL",1.660672,29834.91981,18.8,30,0.252333267430461
"GL",6,"6_2",2,"W1_GL_6","12C","12C.GL",1.7354208,529.080252,18.8,30,0.252333267430461
"GL",6,"6_4",4,"W1_GL_6","12C","12C.GL",1.7248928,699.1029285,18.8,30,0.252333267430461
"GL",6,"6_5",5,"W1_GL_6","12C","12C.GL",1.7175232,1428.545645,18.8,30,0.252333267430461
"GL",6,"6_6",6,"W1_GL_6","12C","12C.GL",1.7122592,983.8213091,18.8,30,0.252333267430461
"GL",6,"6_7",7,"W1_GL_6","12C","12C.GL",1.7069952,1179.881131,18.8,30,0.252333267430461
"GL",6,"6_8",8,"W1_GL_6","12C","12C.GL",1.702784,1465.031317,18.8,30,0.252333267430461
"GL",6,"6_9",9,"W1_GL_6","12C","12C.GL",1.6985728,2318.927955,18.8,30,0.252333267430461
"GL",7,"7_10",10,"W1_GL_7","13C","13C.GL",1.708048,102522.7802,23.2,37,0.253174378321895
"GL",7,"7_11",11,"W1_GL_7","13C","13C.GL",1.7038368,11094.62509,23.2,37,0.253174378321895
"GL",7,"7_12",12,"W1_GL_7","13C","13C.GL",1.6996256,95803.42928,23.2,37,0.253174378321895
"GL",7,"7_13",13,"W1_GL_7","13C","13C.GL",1.6954144,206499.7221,23.2,37,0.253174378321895
"GL",7,"7_14",14,"W1_GL_7","13C","13C.GL",1.6912032,268296.7552,23.2,37,0.253174378321895
"GL",7,"7_15",15,"W1_GL_7","13C","13C.GL",1.686992,699101.2839,23.2,37,0.253174378321895
"GL",7,"7_16",16,"W1_GL_7","13C","13C.GL",1.6827808,640634.6482,23.2,37,0.253174378321895
"GL",7,"7_17",17,"W1_GL_7","13C","13C.GL",1.6775168,242555.4783,23.2,37,0.253174378321895
"GL",7,"7_18",18,"W1_GL_7","13C","13C.GL",1.6733056,87081.50218,23.2,37,0.253174378321895
"GL",7,"7_19",19,"W1_GL_7","13C","13C.GL",1.6674,113871.5097,23.2,37,0.253174378321895
"GL",7,"7_20",20,"W1_GL_7","13C","13C.GL",1.6628,72631.80252,23.2,37,0.253174378321895
"GL",7,"7_5",5,"W1_GL_7","13C","13C.GL",1.7312096,61070.32143,23.2,37,0.253174378321895
"GL",7,"7_6",6,"W1_GL_7","13C","13C.GL",1.7259456,52116.04877,23.2,37,0.253174378321895
"GL",7,"7_7",7,"W1_GL_7","13C","13C.GL",1.7206816,45769.63572,23.2,37,0.253174378321895
